"filename", "language", "Markdown", "CSS", "JSON with Comments", "TypeScript", "JSON", "XML", "TypeScript JSX", "HTML", "comment", "blank", "total"
"c:\Users\nilow\Desktop\react-project\app\src\models\IObject.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"c:\Users\nilow\Desktop\react-project\app\src\models\IPlayer.ts", "TypeScript", 0, 0, 0, 56, 0, 0, 0, 0, 0, 8, 64
"c:\Users\nilow\Desktop\react-project\app\src\models\IProduct.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 10
"c:\Users\nilow\Desktop\react-project\app\src\models\IState.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 6
"c:\Users\nilow\Desktop\react-project\app\src\react-app-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\nilow\Desktop\react-project\app\src\reportWebVitals.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 0, 0, 3, 16
"c:\Users\nilow\Desktop\react-project\app\src\setupTests.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 4, 1, 6
"c:\Users\nilow\Desktop\react-project\app\src\store\reducers\ActionCreators.ts", "TypeScript", 0, 0, 0, 277, 0, 0, 0, 0, 0, 36, 313
"c:\Users\nilow\Desktop\react-project\app\src\store\reducers\GameSlice.ts", "TypeScript", 0, 0, 0, 612, 0, 0, 0, 0, 0, 57, 669
"c:\Users\nilow\Desktop\react-project\app\src\store\store.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 0, 0, 4, 17
"c:\Users\nilow\Desktop\react-project\app\src\styles\backgrounds.ts", "TypeScript", 0, 0, 0, 147, 0, 0, 0, 0, 0, 13, 160
"c:\Users\nilow\Desktop\react-project\app\src\styles\scrollbars.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 1, 16
"c:\Users\nilow\Desktop\react-project\app\tsconfig.json", "JSON with Comments", 0, 0, 26, 0, 0, 0, 0, 0, 0, 1, 27
"Total", "-", 0, 25, 26, 6966, 31351, 172, 8347, 23, 70, 1294, 48274
